Categoría,Componente Origen,Pin / Borne Origen,Componente Destino / Nodo,Pin / Borne Destino,Notas / Función
Actuadores (Motores),L298N Frontal,OUT3 / OUT4,Motor TT 2 (Frontal Der),Terminales,Salida a motor
Actuadores (Motores),L298N Trasero,12V (Borne),NODO_VBAT,-,Potencia pesada 7.4V
Actuadores (Motores),L298N Trasero,GND (Borne),NODO_GND,-,Tierra de potencia
Actuadores (Motores),L298N Trasero,IN1,ESP32 Principal,GPIO 17,Dirección Trasera Izq (A)
Actuadores (Motores),L298N Trasero,IN2,ESP32 Principal,GPIO 5,Dirección Trasera Izq (B)
Actuadores (Motores),L298N Trasero,IN3,ESP32 Principal,GPIO 18,Dirección Trasera Der (A)
Actuadores (Motores),L298N Trasero,IN4,ESP32 Principal,GPIO 19,Dirección Trasera Der (B)
Actuadores (Motores),L298N Trasero,OUT1 / OUT2,Motor TT 3 (Trasero Izq),Terminales,Salida a motor
Actuadores (Motores),L298N Trasero,OUT3 / OUT4,Motor TT 4 (Trasero Der),Terminales,Salida a motor
Sensores,HC-SR04 (Frontal),VCC,NODO_5V,-,Alimentación ultrasonido
Sensores,HC-SR04 (Frontal),GND,NODO_GND,-,Tierra ultrasonido
Sensores,HC-SR04 (Frontal),Trig,ESP32 Principal,GPIO 13,Pulso de disparo
Sensores,HC-SR04 (Frontal),Echo,Resistencia R1 (1kΩ),Extremo A,Divisor: Reduce señal de 5V
Sensores,Divisor Frontal (R1 y R2),Nodo Central (Unión),ESP32 Principal,GPIO 12,Señal segura a 3.3V
Sensores,Resistencia R2 (2kΩ) Frontal,Extremo B,NODO_GND,-,Divisor: Cierre a tierra
Sensores,HC-SR04 (Trasero),VCC,NODO_5V,-,Alimentación ultrasonido
Sensores,HC-SR04 (Trasero),GND,NODO_GND,-,Tierra ultrasonido
Sensores,HC-SR04 (Trasero),Trig,ESP32 Principal,GPIO 14,Pulso de disparo
Sensores,HC-SR04 (Trasero),Echo,Resistencia R1 (1kΩ),Extremo A,Divisor: Reduce señal de 5V
Sensores,Divisor Trasero (R1 y R2),Nodo Central (Unión),ESP32 Principal,GPIO 27,Señal segura a 3.3V
Sensores,Resistencia R2 (2kΩ) Trasero,Extremo B,NODO_GND,-,Divisor: Cierre a tierra
Sensores,SHW-201 (Frontal Izq),VCC,NODO_3V3,-,Alimentación a 3.3V
Sensores,SHW-201 (Frontal Izq),GND,NODO_GND,-,Tierra
Sensores,SHW-201 (Frontal Izq),OUT,ESP32 Principal,GPIO 26,Señal IR
Sensores,SHW-201 (Frontal Der),VCC,NODO_3V3,-,Alimentación a 3.3V
Sensores,SHW-201 (Frontal Der),GND,NODO_GND,-,Tierra
Sensores,SHW-201 (Frontal Der),OUT,ESP32 Principal,GPIO 25,Señal IR
Navegación,MPU-6050,VCC,NODO_3V3,-,Lógica recomendada a 3.3V
Navegación,MPU-6050,GND,NODO_GND,-,Tierra
Navegación,MPU-6050,SDA,ESP32 Principal,GPIO 21 (BUS_I2C),Datos giroscopio
Navegación,MPU-6050,SCL,ESP32 Principal,GPIO 22 (BUS_I2C),Reloj giroscopio
Interfaz,Pantalla OLED 0.96,VCC,NODO_3V3,-,Alimentación
Interfaz,Pantalla OLED 0.96,GND,NODO_GND,-,Tierra
Interfaz,Pantalla OLED 0.96,SDA,ESP32 Principal,GPIO 21 (BUS_I2C),Datos pantalla
Interfaz,Pantalla OLED 0.96,SCL,ESP32 Principal,GPIO 22 (BUS_I2C),Reloj pantalla
Interfaz,Pulsador Táctil (12x12mm),Pin 1,ESP32 Principal,GPIO 33,Lectura digital (Usa PULLUP interno)
Interfaz,Pulsador Táctil (12x12mm),Pin 4 (Diagonal),NODO_GND,-,Cierre de circuito del botón
